Study ID,Study Class,Treatment Focus (Study level),Total N Randomized,Outcome Assessment Type,PTSD Outcome Measure,PTSD Outcome Measure Detail,Adjusted Variables in Statistical Analysis,Intervention Groups,NCPTSD Treatment Names,Assessment Point Category,Follow Up Assessment in Weeks,Analysis Type,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1 Value,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2 Value,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,Score Difference 1 Detail,Score Difference 1 Value,Score Difference 1 Standard Deviation,Score Difference 1 95% CI Lower Bound,Score Difference 1 95% CI Upper Bound,Score Difference 2 Detail,Score Difference 2 Value,Score Difference 2 Standard Deviation,Score Difference 2 95% CI Lower Bound,Score Difference 2 95% CI Upper Bound,Diagnostic Change 1 Effect Size Detail,Diagnostic Change 1 Effect Size Type,Diagnostic Change 1 Effect Size Value,Diagnostic Change 1 Effect Size Type of Variance Measure,Diagnostic Change 1 Effect Size Variance Value or Lower Bound,Diagnostic Change 1 Effect Size Variance Upper Bound,Diagnostic Change 1 Effect Size p value,Clinically Meaningful Response 1 Effect Size Detail,Clinically Meaningful Response 1 Effect Size Type,Clinically Meaningful Response 1 Effect Size Value,Clinically Meaningful Response 1 Effect Size Type of Variance Measure,Clinically Meaningful Response 1 Effect Size Variance Value or Lower Bound,Clinically Meaningful Response 1 Effect Size Variance Upper Bound,Clinically Meaningful Response 1 Effect Size p value,Additional Data Reported,Military Status (Study level),Active Duty Military Percent (Study level),Veteran Percent (Study level),Community Percent (Study level),Female Percent (Study level),Female Percent Detail (Study level),Male Percent (Study level),Trauma Type (Study level),Trauma Detail (Study level),Risk of Bias Rating (Study level),Citation,PTSDPubs ID,Year Added to PTSD-Repository
asukai2010_IES_AvsB_0_ITT,Psychotherapy,PTSD,24,Self report,IES,IES-R (Japanese version),,A vs B,Prolonged Exposure (PE) vs Treatment as usual (TAU),End of Treatment,0,ITT,,Hedges' g,1.15,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.875,,0.125,Mixed,"rape/sexual assault, accidents, community/school violence",Medium,"Asukai N, Saito A, Tsuruta N, et al. Efficacy of exposure therapy for Japanese patients with posttraumatic stress disorder due to mixed traumatic events: A randomized controlled study. J Trauma Stress. 2010 Dec;23(6):744-50. doi: 10.1002/jts.20589. PMID: 21171135.",84311,2019
back2019_CAPS_AvsB_0_Comp,Psychotherapy,PTSD+SUD,81,Structured Clinical Interview,CAPS,CAPS-IV,Current major depressive episode at baseline as assessed using the MINI.,A vs B,Concurrent Treatment for PTSD and Substance Use Disorder Using Prolonged Exposure (COPE) vs Relapse Prevention,End of Treatment,0,Completer,,,,,,,,,,,,,,,,,,,,,,,,,,OR,7.7,95% CI,1.8,33.6,p=0.004,,,,,,,,,Veteran,0,1,0,0.091,,0.909,Mixed,"Combat-related, Rape/sexual assault, Accidents, Community/school violence, Natural or manmade disasters, Terrorism/policital violence/forced displacement; Other (physical assault, assault with a weapon, unwanted or uncomfortable sexual experience, captivity, severe human suffering, sudden violent death of someone close, sudden unexpected death of someone close, other very stressful event or experience)",Medium,"Back SE, Killeen T, Badour CL, et al. Concurrent treatment of substance use disorders and PTSD using prolonged exposure: a randomized clinical trial in military veterans. Addict Behav. 2019 Mar;90:369-77. doi: 10.1016/j.addbeh.2018.11.032. PMID: 30529244.",51384,2020
back2019_CAPS_AvsB_0_ITT,Psychotherapy,PTSD+SUD,81,Structured Clinical Interview,CAPS,CAPS-IV,Current major depressive episode at baseline as assessed using the MINI.,A vs B,Concurrent Treatment for PTSD and Substance Use Disorder Using Prolonged Exposure (COPE) vs Relapse Prevention,End of Treatment,0,ITT,Endpoint difference,Standardized beta,-1.4,95% CI,-2.2,-0.6,p<0.001,,,,,,,,Endpoint difference,-25.6,,-49,-11.3,,,,,,,OR,5.3,95% CI,1.8,15.7,p=0.002,,,,,,,,,Veteran,0,1,0,0.091,,0.909,Mixed,"Combat-related, Rape/sexual assault, Accidents, Community/school violence, Natural or manmade disasters, Terrorism/policital violence/forced displacement; Other (physical assault, assault with a weapon, unwanted or uncomfortable sexual experience, captivity, severe human suffering, sudden violent death of someone close, sudden unexpected death of someone close, other very stressful event or experience)",Medium,"Back SE, Killeen T, Badour CL, et al. Concurrent treatment of substance use disorders and PTSD using prolonged exposure: a randomized clinical trial in military veterans. Addict Behav. 2019 Mar;90:369-77. doi: 10.1016/j.addbeh.2018.11.032. PMID: 30529244.",51384,2020
back2019_CAPS_AvsB_12_Comp,Psychotherapy,PTSD+SUD,81,Structured Clinical Interview,CAPS,CAPS-IV,Current major depressive episode at baseline as assessed using the MINI.,A vs B,Concurrent Treatment for PTSD and Substance Use Disorder Using Prolonged Exposure (COPE) vs Relapse Prevention,Assessment at 3 to <6 Months,12,Completer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.091,,0.909,Mixed,"Combat-related, Rape/sexual assault, Accidents, Community/school violence, Natural or manmade disasters, Terrorism/policital violence/forced displacement; Other (physical assault, assault with a weapon, unwanted or uncomfortable sexual experience, captivity, severe human suffering, sudden violent death of someone close, sudden unexpected death of someone close, other very stressful event or experience)",Medium,"Back SE, Killeen T, Badour CL, et al. Concurrent treatment of substance use disorders and PTSD using prolonged exposure: a randomized clinical trial in military veterans. Addict Behav. 2019 Mar;90:369-77. doi: 10.1016/j.addbeh.2018.11.032. PMID: 30529244.",51384,2020
back2019_CAPS_AvsB_12_ITT,Psychotherapy,PTSD+SUD,81,Structured Clinical Interview,CAPS,CAPS-IV,Current major depressive episode at baseline as assessed using the MINI.,A vs B,Concurrent Treatment for PTSD and Substance Use Disorder Using Prolonged Exposure (COPE) vs Relapse Prevention,Assessment at 3 to <6 Months,12,ITT,,,,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.091,,0.909,Mixed,"Combat-related, Rape/sexual assault, Accidents, Community/school violence, Natural or manmade disasters, Terrorism/policital violence/forced displacement; Other (physical assault, assault with a weapon, unwanted or uncomfortable sexual experience, captivity, severe human suffering, sudden violent death of someone close, sudden unexpected death of someone close, other very stressful event or experience)",Medium,"Back SE, Killeen T, Badour CL, et al. Concurrent treatment of substance use disorders and PTSD using prolonged exposure: a randomized clinical trial in military veterans. Addict Behav. 2019 Mar;90:369-77. doi: 10.1016/j.addbeh.2018.11.032. PMID: 30529244.",51384,2020
back2019_CAPS_AvsB_26_Comp,Psychotherapy,PTSD+SUD,81,Structured Clinical Interview,CAPS,CAPS-IV,Current major depressive episode at baseline as assessed using the MINI.,A vs B,Concurrent Treatment for PTSD and Substance Use Disorder Using Prolonged Exposure (COPE) vs Relapse Prevention,Assessment at 6 to <12 Months,26,Completer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.091,,0.909,Mixed,"Combat-related, Rape/sexual assault, Accidents, Community/school violence, Natural or manmade disasters, Terrorism/policital violence/forced displacement; Other (physical assault, assault with a weapon, unwanted or uncomfortable sexual experience, captivity, severe human suffering, sudden violent death of someone close, sudden unexpected death of someone close, other very stressful event or experience)",Medium,"Back SE, Killeen T, Badour CL, et al. Concurrent treatment of substance use disorders and PTSD using prolonged exposure: a randomized clinical trial in military veterans. Addict Behav. 2019 Mar;90:369-77. doi: 10.1016/j.addbeh.2018.11.032. PMID: 30529244.",51384,2020
back2019_CAPS_AvsB_26_ITT,Psychotherapy,PTSD+SUD,81,Structured Clinical Interview,CAPS,CAPS-IV,Current major depressive episode at baseline as assessed using the MINI.,A vs B,Concurrent Treatment for PTSD and Substance Use Disorder Using Prolonged Exposure (COPE) vs Relapse Prevention,Assessment at 6 to <12 Months,26,ITT,,,,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.091,,0.909,Mixed,"Combat-related, Rape/sexual assault, Accidents, Community/school violence, Natural or manmade disasters, Terrorism/policital violence/forced displacement; Other (physical assault, assault with a weapon, unwanted or uncomfortable sexual experience, captivity, severe human suffering, sudden violent death of someone close, sudden unexpected death of someone close, other very stressful event or experience)",Medium,"Back SE, Killeen T, Badour CL, et al. Concurrent treatment of substance use disorders and PTSD using prolonged exposure: a randomized clinical trial in military veterans. Addict Behav. 2019 Mar;90:369-77. doi: 10.1016/j.addbeh.2018.11.032. PMID: 30529244.",51384,2020
back2019_PCL_AvsB_0_ITT,Psychotherapy,PTSD+SUD,81,Self report,PCL,PCL-M,Current major depressive episode at baseline as assessed using the MINI.,A vs B,Concurrent Treatment for PTSD and Substance Use Disorder Using Prolonged Exposure (COPE) vs Relapse Prevention,End of Treatment,0,ITT,Endpoint difference,Standardized beta,-1.2,95% CI,-2.2,-0.4,p=0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.091,,0.909,Mixed,"Combat-related, Rape/sexual assault, Accidents, Community/school violence, Natural or manmade disasters, Terrorism/policital violence/forced displacement; Other (physical assault, assault with a weapon, unwanted or uncomfortable sexual experience, captivity, severe human suffering, sudden violent death of someone close, sudden unexpected death of someone close, other very stressful event or experience)",Medium,"Back SE, Killeen T, Badour CL, et al. Concurrent treatment of substance use disorders and PTSD using prolonged exposure: a randomized clinical trial in military veterans. Addict Behav. 2019 Mar;90:369-77. doi: 10.1016/j.addbeh.2018.11.032. PMID: 30529244.",51384,2020
back2019_PCL_AvsB_12_ITT,Psychotherapy,PTSD+SUD,81,Self report,PCL,PCL-M,Current major depressive episode at baseline as assessed using the MINI.,A vs B,Concurrent Treatment for PTSD and Substance Use Disorder Using Prolonged Exposure (COPE) vs Relapse Prevention,Assessment at 3 to <6 Months,12,ITT,,,,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.091,,0.909,Mixed,"Combat-related, Rape/sexual assault, Accidents, Community/school violence, Natural or manmade disasters, Terrorism/policital violence/forced displacement; Other (physical assault, assault with a weapon, unwanted or uncomfortable sexual experience, captivity, severe human suffering, sudden violent death of someone close, sudden unexpected death of someone close, other very stressful event or experience)",Medium,"Back SE, Killeen T, Badour CL, et al. Concurrent treatment of substance use disorders and PTSD using prolonged exposure: a randomized clinical trial in military veterans. Addict Behav. 2019 Mar;90:369-77. doi: 10.1016/j.addbeh.2018.11.032. PMID: 30529244.",51384,2020
back2019_PCL_AvsB_26_ITT,Psychotherapy,PTSD+SUD,81,Self report,PCL,PCL-M,Current major depressive episode at baseline as assessed using the MINI.,A vs B,Concurrent Treatment for PTSD and Substance Use Disorder Using Prolonged Exposure (COPE) vs Relapse Prevention,Assessment at 6 to <12 Months,26,ITT,,,,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.091,,0.909,Mixed,"Combat-related, Rape/sexual assault, Accidents, Community/school violence, Natural or manmade disasters, Terrorism/policital violence/forced displacement; Other (physical assault, assault with a weapon, unwanted or uncomfortable sexual experience, captivity, severe human suffering, sudden violent death of someone close, sudden unexpected death of someone close, other very stressful event or experience)",Medium,"Back SE, Killeen T, Badour CL, et al. Concurrent treatment of substance use disorders and PTSD using prolonged exposure: a randomized clinical trial in military veterans. Addict Behav. 2019 Mar;90:369-77. doi: 10.1016/j.addbeh.2018.11.032. PMID: 30529244.",51384,2020
badurabrack2015astudy1_PCL_AvsB_0_ITT,Nonpharmacologic cognitive,PTSD,52,Self report,PCL,PCL,,A vs B,Attention bias modification (ABM) vs Attention bias modification (ABM),End of Treatment,0,ITT,Treatment x Time interaction,,,,,,p<0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,Medium,"Badura-Brack AS, Naim R, Ryan TJ, et al. Effect of attention training on attention bias variability and PTSD symptoms: randomized controlled trials in Israeli and U.S. combat veterans. Am J Psychiatry. 2015 Dec;172(12):1233-41. doi: 10.1176/appi.ajp.2015.14121578. PMID: 26206075.",44617,2019
badurabrack2015bstudy2_CAPS_AvsB_0_ITT,Nonpharmacologic cognitive,PTSD,46,Structured Clinical Interview,CAPS,CAPS,,A vs B,Attention bias modification (ABM) vs Attention bias modification (ABM),End of Treatment,0,ITT,Treatment x Time interaction,,,,,,p<0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,Medium,"Badura-Brack AS, Naim R, Ryan TJ, et al. Effect of attention training on attention bias variability and PTSD symptoms: randomized controlled trials in Israeli and U.S. combat veterans. Am J Psychiatry. 2015 Dec;172(12):1233-41. doi: 10.1176/appi.ajp.2015.14121578. PMID: 26206075.",44617,2019
badurabrack2015bstudy2_PCL_AvsB_0_ITT,Nonpharmacologic cognitive,PTSD,46,Self report,PCL,PCL-M,,A vs B,Attention bias modification (ABM) vs Attention bias modification (ABM),End of Treatment,0,ITT,Treatment x Time interaction,,,,,,p=0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,Medium,"Badura-Brack AS, Naim R, Ryan TJ, et al. Effect of attention training on attention bias variability and PTSD symptoms: randomized controlled trials in Israeli and U.S. combat veterans. Am J Psychiatry. 2015 Dec;172(12):1233-41. doi: 10.1176/appi.ajp.2015.14121578. PMID: 26206075.",44617,2019
baker1995_CAPS_AvsB_0_ITT,Pharmacotherapy,PTSD,118,Structured Clinical Interview,CAPS,CAPS,"Baseline CAPS, center, center x treatment interaction",A vs B,Brofaromine vs Placebo,End of Treatment,0,ITT,,,,,,,p=0.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,0,0.602,0.398,0.193,,0.807,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (not specified)",Medium,"Baker DG, Diamond BI, Gillette GM, et al. A double-blind, randomized, placebo-controlled, multi-center study of brofaromine in the treatment of post-traumatic stress disorder. Psychopharmacology (Berl). 1995 Dec;122(4):386-9. doi: 10.1007/BF02246271. PMID: 8657838.",06773,2019
baker1995_DTS_AvsB_0_ITT,Pharmacotherapy,PTSD,118,Self report,DTS,DTS,,A vs B,Brofaromine vs Placebo,End of Treatment,0,ITT,,,,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,0,0.602,0.398,0.193,,0.807,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (not specified)",Medium,"Baker DG, Diamond BI, Gillette GM, et al. A double-blind, randomized, placebo-controlled, multi-center study of brofaromine in the treatment of post-traumatic stress disorder. Psychopharmacology (Berl). 1995 Dec;122(4):386-9. doi: 10.1007/BF02246271. PMID: 8657838.",06773,2019
baker1995_IES_AvsB_0_ITT,Pharmacotherapy,PTSD,118,Self report,IES,IES,,A vs B,Brofaromine vs Placebo,End of Treatment,0,ITT,,,,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,0,0.602,0.398,0.193,,0.807,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (not specified)",Medium,"Baker DG, Diamond BI, Gillette GM, et al. A double-blind, randomized, placebo-controlled, multi-center study of brofaromine in the treatment of post-traumatic stress disorder. Psychopharmacology (Berl). 1995 Dec;122(4):386-9. doi: 10.1007/BF02246271. PMID: 8657838.",06773,2019
baniasadi2014_CAPS_AvsB_0_ITT,Pharmacotherapy,PTSD,37,Structured Clinical Interview,CAPS,CAPS,,A vs B,Pregabalin vs Placebo,End of Treatment,0,ITT,,,,,,,p=0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,Medium,"Baniasadi M, Hosseini G, Fayyazi Bordbar MR, et al. Effect of pregabalin augmentation in treatment of patients with combat-related chronic posttraumatic stress disorder: a randomized controlled trial. J Psychiatr Pract. 2014 Nov;20(6):419-27. doi: 10.1097/01.pra.0000456590.12998.41. PMID: 25406046.",44618,2019
basoglu2005_CAPS_AvsB_0_Comp,Psychotherapy,PTSD,59,Structured Clinical Interview,CAPS,CAPS (Turkish version),,A vs B,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Waitlist,End of Treatment,0,Completer,,,,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.8475,,0.1525,Natural or manmade disasters,,Medium,"Basoglu M, Salcioglu E, Livanou M, et al. Single-session behavioral treatment of earthquake-related posttraumatic stress disorder: a randomized waiting list controlled trial. J Trauma Stress. 2005;18(1):1-11. doi: 10.1002/jts.20011. PMID: 16281190.",18886,2019
basoglu2005_Trau_AvsB_0_Comp,Psychotherapy,PTSD,59,Self report,Traumatic Stress Symptom Checklist,Traumatic Stress Symptom Checklist,,A vs B,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Waitlist,End of Treatment,0,Completer,,,,,,,p<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.8475,,0.1525,Natural or manmade disasters,,Medium,"Basoglu M, Salcioglu E, Livanou M, et al. Single-session behavioral treatment of earthquake-related posttraumatic stress disorder: a randomized waiting list controlled trial. J Trauma Stress. 2005;18(1):1-11. doi: 10.1002/jts.20011. PMID: 16281190.",18886,2019
basoglu2007_CAPS_AvsB_0_ITT,Psychotherapy,PTSD,31,Structured Clinical Interview,CAPS,CAPS,,A vs B,Exposure therapy vs Waitlist,End of Treatment,0,ITT,Endpoint difference,Cohen's d,0.9,,,,p<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,0,0,1,0.871,,0.129,Natural or manmade disasters,,Medium,"Basoglu M, Salcioglu E, Livanou M. A randomized controlled study of single-session behavioural treatment of earthquake-related post-traumatic stress disorder using an earthquake simulator. Psychological Medicine. 2007;37(2):203-13. doi: 10.1017/S0033291706009123. PMID: 17254365.",29446,2020
basoglu2007_CAPS_AvsB_4_ITT,Psychotherapy,PTSD,31,Structured Clinical Interview,CAPS,CAPS,,A vs B,Exposure therapy vs Waitlist,Assessment at <3 Months,4,ITT,Endpoint difference,Cohen's d,0.9,,,,p<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,0,0,1,0.871,,0.129,Natural or manmade disasters,,Medium,"Basoglu M, Salcioglu E, Livanou M. A randomized controlled study of single-session behavioural treatment of earthquake-related post-traumatic stress disorder using an earthquake simulator. Psychological Medicine. 2007;37(2):203-13. doi: 10.1017/S0033291706009123. PMID: 17254365.",29446,2020
batki2014_PCL_AvsB_0_ITT,Pharmacotherapy,PTSD+SUD,30,Self report,PCL,PCL,Baseline scores for PTSD smptoms in group comparisons,A vs B,Topiramate vs Placebo,End of Treatment,0,ITT,,Incidence rate ratio,-9.01,95% CI,-19.8,1.8,p=0.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0667,,0.9333,Mixed,"combat-related, other (""civilian related trauma"")",Medium,"Batki SL, Pennington DL, Lasher B, et al. Topiramate treatment of alcohol use disorder in veterans with posttraumatic stress disorder: a randomized controlled pilot trial. Alcohol Clin Exp Res. 2014 Aug;38(8):2169-77. doi: 10.1111/acer.12496. PMID: 25092377.",42646,2020
battaglia2016_PCL_AvsB_0_ITT,Other mixed,PTSD+SUD,175,Self report,PCL,PCL,"Adjusted models:  age, gender, lives alone, sessions completed, diagnosis of nicotine addiction, traumatic brain injury diagnosis, sexual abuse diagnosis, anxiety diagnosis, use of nicotine replacement therapy, PTSD Checklist score, and study completion",A vs B,Motivational Interviewing (MI) for smoking cessation + PTSD home telehealth care management program vs PTSD home telehealth care management program,End of Treatment,0,ITT,Endpoint difference,,,,,,unadjusted p=0.48; adjusted p=0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.1371,,0.8629,,,Medium,"Battaglia C, Peterson J, Whitfield E, et al. Integrating motivational interviewing into a home telehealth program for veterans with posttraumatic stress disorder who smoke: a randomized controlled trial. J Clin Psychol. 2016 Mar;72(3):194-206. doi: 10.1002/jclp.22252. PMID: 26783736.",49060,2020
battaglia2016_PCL_AvsB_26_ITT,Other mixed,PTSD+SUD,175,Self report,PCL,PCL,"Adjusted models:  age, gender, lives alone, sessions completed, diagnosis of nicotine addiction, traumatic brain injury diagnosis, sexual abuse diagnosis, anxiety diagnosis, use of nicotine replacement therapy, PTSD Checklist score, and study completion",A vs B,Motivational Interviewing (MI) for smoking cessation + PTSD home telehealth care management program vs PTSD home telehealth care management program,Assessment at 6 to <12 Months,26,ITT,Endpoint difference,,,,,,unadjusted p=0.05; adjusted p<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.1371,,0.8629,,,Medium,"Battaglia C, Peterson J, Whitfield E, et al. Integrating motivational interviewing into a home telehealth program for veterans with posttraumatic stress disorder who smoke: a randomized controlled trial. J Clin Psychol. 2016 Mar;72(3):194-206. doi: 10.1002/jclp.22252. PMID: 26783736.",49060,2020
battersby2013_PCL_AvsB_0_ITT,Collaborative care,PTSD,82,Self report,PCL,PCL-M,Baseline scores,A vs B,Flinders Program vs Treatment as usual (TAU),End of Treatment,0,ITT,,,,,,,p>0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,,,,,,Medium,"Battersby MW, Beattie J, Pols RG, et al. A randomised controlled trial of the Flinders Program™ of chronic condition management in Vietnam veterans with co-morbid alcohol misuse, and psychiatric and medical conditions. Aust N Z J Psychiatry. 2013 May;47(5):451-62. doi: 10.1177/0004867412471977. PMID: 23307806.",,2020
beck2009_CAPS_AvsB_0_Comp,Psychotherapy,PTSD,44,Structured Clinical Interview,CAPS,CAPS,,A vs B,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Minimal attention,End of Treatment,0,Completer,Change from baseline: Group x Time interaction,,,,,,p=0.02,Endpoint difference,Hedges' g,0.84,,,,p<0.05,,,,,,,,,,,,,,,,,p=0.001,,,,,,,p=NS,Additional data reported in the study for other definitions of clinically meaningful response,Community,,,1,0.8182,,0.1818,Accidents,,High,"Beck JG, Coffey SF, Foy DW, et al. Group cognitive behavior therapy for chronic posttraumatic stress disorder: an initial randomized pilot study. Behav Ther. 2009 Mar;40(1):82-92. doi: 10.1016/j.beth.2008.01.003. PMID: 19187819.",32054,2019
beck2009_IES_AvsB_0_Comp,Psychotherapy,PTSD,44,Self report,IES,IES-R,,A vs B,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Minimal attention,End of Treatment,0,Completer,Change from baseline: Group x Time interaction,,,,,,p=0.03,Endpoint difference,Hedges' g,0.96,,,,p<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.8182,,0.1818,Accidents,,High,"Beck JG, Coffey SF, Foy DW, et al. Group cognitive behavior therapy for chronic posttraumatic stress disorder: an initial randomized pilot study. Behav Ther. 2009 Mar;40(1):82-92. doi: 10.1016/j.beth.2008.01.003. PMID: 19187819.",32054,2019
